Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,04/11/2022,06/03/2023,Nonexempt,52867.50
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,11/08/2016,11/08/2016,Nonexempt,55433.74
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,06/20/2023,10/09/2023,Nonexempt,51000.00
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,02/01/2020,03/27/2023,Nonexempt,50350.26
Human Services,Hum Svc Div of Social Services,Fraud Supervisor,Permanent Full-time,11/08/1999,07/08/2014,Exempt,66608.58
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,09/23/2014,07/08/2019,Exempt,54306.60
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,10/24/2005,04/28/2014,Exempt,59318.97
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,04/30/2018,04/30/2018,Exempt,64979.87
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor Sr,Permanent Full-time,02/25/2013,08/31/2020,Exempt,63254.17
Human Services,Hum Svc Juvenile Detention Ctr,Business Manager,Permanent Full-time,11/13/2017,10/26/2020,Exempt,54353.46
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,10/21/2023,10/21/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,09/12/2022,10/09/2023,Nonexempt,50000.00
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,10/13/1997,08/06/2018,Nonexempt,53756.08
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,04/16/2018,10/25/2021,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Management Analyst I,Permanent Full-time,11/20/2000,04/03/2017,Exempt,57602.90
Human Services,Hum Svc Div of Social Services,Fiscal Monitoring Spec I,Permanent Full-time,08/20/2001,09/18/2017,Exempt,51632.01
Human Services,Hum Svc Div of Social Services,Fiscal Monitoring Spec I,Permanent Full-time,03/27/2006,04/25/2022,Exempt,48653.33
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,10/12/2019,10/12/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,04/24/2021,04/24/2021,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Office Assistant,Permanent Full-time,10/29/1992,08/31/2009,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Family Services Associate,Casual Part-time,01/28/2023,01/28/2023,Nonexempt,19.15
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Office Assistant,Permanent Full-time,02/08/2000,02/08/2000,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,10/21/2023,10/21/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,08/01/2022,08/01/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,04/27/2019,04/27/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Office Manager,Permanent Full-time,05/27/2008,07/03/2023,Exempt,53802.58
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,11/04/2023,11/04/2023,Nonexempt,47000.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,01/01/1988,05/15/1996,Nonexempt,47363.02
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,06/22/2009,04/27/2019,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,10/26/2011,10/26/2011,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,04/22/1996,02/24/1997,Nonexempt,39844.16
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,02/08/1994,05/15/1996,Nonexempt,58020.91
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,03/14/2020,04/13/2020,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,08/02/2006,07/31/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/19/2004,07/14/2008,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,09/24/2012,12/06/2021,Nonexempt,45013.50
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,04/13/2019,08/31/2020,Nonexempt,46336.97
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,04/06/2024,05/18/2024,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,02/27/2017,06/24/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,10/07/2023,10/07/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/18/1996,07/01/2014,Nonexempt,49430.56
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,05/09/2016,05/09/2016,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,10/22/2022,10/22/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,05/06/2023,05/06/2023,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,02/11/2023,02/11/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,06/23/2008,04/25/2022,Nonexempt,45013.50
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/13/2017,11/13/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Part-time,05/18/2024,05/18/2024,Nonexempt,20176.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,03/04/2013,02/16/2016,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,02/25/2013,02/25/2013,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,12/08/1994,07/01/2004,Nonexempt,52562.57
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/09/2018,07/09/2018,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,01/14/2013,07/01/2014,Nonexempt,49048.30
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,12/10/2018,11/08/2021,Nonexempt,45013.50
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,12/06/2021,05/09/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,12/19/2011,12/19/2011,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/30/2017,10/30/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,01/28/2008,03/14/2016,Nonexempt,50350.26
Human Services,Hum Svc Div of Social Services,Office Assistant,Permanent Full-time,08/29/2022,08/29/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Family Services Associate,Permanent Full-time,05/18/2024,05/18/2024,Nonexempt,45812.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,04/29/2002,04/29/2002,Nonexempt,52562.51
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,03/28/2011,03/28/2011,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,04/20/2024,04/20/2024,Nonexempt,56248.80
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,06/25/2007,06/25/2007,Nonexempt,47617.64
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,01/28/2008,11/09/2015,Nonexempt,50350.26
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,05/28/2019,10/24/2022,Nonexempt,53287.71
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,01/02/2001,12/19/2011,Nonexempt,58767.68
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor Sr,Permanent Full-time,08/08/1995,12/08/2016,Exempt,71292.53
Human Services,Hum Svc Div of Social Services,Programs Manager,Permanent Full-time,04/18/2016,04/18/2016,Exempt,92188.71
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,06/05/2006,05/22/2021,Nonexempt,46336.97
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,03/09/2024,03/09/2024,Nonexempt,51764.95
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,05/11/2019,05/22/2021,Exempt,54306.60
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,06/13/2016,12/10/2018,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,04/23/2015,04/23/2015,Nonexempt,46337.14
Human Services,Human Services Detention Ctr,Management Analyst II,Special Project w/ Retirement,07/01/2003,02/25/2023,Exempt,52755.15
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,04/24/2021,02/25/2023,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,09/11/2017,10/29/2018,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,06/25/2007,06/25/2007,Nonexempt,47617.64
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/15/2013,02/16/2016,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,09/12/2020,09/12/2020,Nonexempt,46336.97
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,03/06/1991,05/15/1996,Nonexempt,59470.68
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,05/09/2016,10/16/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,03/08/2005,06/25/2007,Nonexempt,47617.64
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,04/03/2017,04/03/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,10/22/2022,10/22/2022,Exempt,58275.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,08/28/2017,04/13/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,06/03/2013,07/08/2014,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,01/10/2000,01/10/2000,Nonexempt,56605.40
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,08/26/2023,08/26/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Microcomputer Sys Analyst Sr,Permanent Full-time,05/23/1998,07/09/2007,Exempt,71603.43
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,08/26/2023,08/26/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,06/23/2015,06/26/2017,Nonexempt,53432.19
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,08/12/2023,08/12/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/06/2020,07/05/2022,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Data Quality Control Manager,Permanent Full-time,06/13/2011,08/29/2020,Nonexempt,45887.45
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,12/05/2020,10/21/2023,Nonexempt,50000.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,04/25/2022,04/08/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,05/24/2005,07/18/2022,Nonexempt,39312.00
Human Services,Hum Svc Juvenile Detention Ctr,Support Technician,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,06/05/2006,06/05/2006,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,06/22/2006,10/08/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Senior Manager,Permanent Full-time,07/08/1997,10/25/2021,Exempt,121275.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,11/09/2016,09/23/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,10/21/2023,10/21/2023,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,07/17/2023,07/17/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,05/23/2022,05/23/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,05/23/2022,05/23/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,09/01/1989,05/15/1996,Nonexempt,42908.01
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,03/02/2019,03/02/2019,Nonexempt,19.40
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,09/23/2023,09/23/2023,Nonexempt,19.40
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,06/15/2024,06/15/2024,Nonexempt,19.40
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,06/15/2024,06/15/2024,Nonexempt,19.40
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,06/15/2024,06/15/2024,Nonexempt,19.40
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,12/08/2003,10/21/2023,Nonexempt,19.40
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,07/14/2008,08/27/2022,Exempt,57902.80
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,05/08/2014,08/12/2023,Exempt,57779.45
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,05/01/1990,05/23/2005,Exempt,73523.56
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,12/08/2014,08/27/2022,Exempt,57902.80
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,12/11/2000,04/05/2010,Exempt,59318.97
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,10/30/2017,07/29/2023,Exempt,57779.45
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,07/15/2023,07/15/2023,Nonexempt,50000.00
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,06/03/2023,06/03/2023,Nonexempt,49350.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,08/29/2022,04/10/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,12/03/2022,10/09/2023,Nonexempt,52000.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/22/2022,10/22/2022,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,03/02/2019,03/02/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,07/17/2021,11/07/2022,Nonexempt,52947.56
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,06/25/2007,09/12/2022,Nonexempt,40425.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,05/23/2022,05/23/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Office Manager,Permanent Full-time,03/05/2018,02/25/2023,Exempt,46416.30
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,08/10/1999,06/08/2011,Nonexempt,65074.46
Human Services,Hum Svc Div of Social Services,Accounting Technician II,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,39837.00
Human Services,Hum Svc Juvenile Detention Ctr,Administrative Technician,Permanent Full-time,05/01/2017,08/15/2020,Nonexempt,39837.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,07/29/2023,07/29/2023,Nonexempt,40362.00
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,12/07/2019,01/28/2023,Nonexempt,19.53
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,09/26/2020,09/26/2020,Exempt,65863.35
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,02/01/2020,04/22/2024,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,06/20/2023,06/17/2024,Nonexempt,51725.60
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,12/05/2022,12/05/2022,Nonexempt,51765.00
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,07/16/1990,05/15/1996,Nonexempt,19.84
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,01/02/2024,01/02/2024,Nonexempt,19.40
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Retiree Part-time,07/01/1992,05/06/2023,Nonexempt,22.30
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,03/04/2013,03/04/2013,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,01/21/2014,11/12/2019,Exempt,54306.60
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,02/01/2020,02/01/2020,Exempt,56782.98
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,12/23/2014,02/27/2021,Exempt,56886.17
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,08/12/2023,08/12/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,06/13/2016,04/25/2020,Nonexempt,49349.06
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,01/12/2015,06/06/2020,Nonexempt,46336.97
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,07/01/2023,07/01/2023,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,08/20/2018,04/24/2021,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,05/09/2022,05/09/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,07/23/2006,05/18/2024,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,04/09/2001,04/09/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,02/08/2007,04/28/2008,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,01/30/2017,04/11/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,07/06/2007,10/10/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Office Manager,Permanent Full-time,10/25/2021,10/25/2021,Exempt,48759.17
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,06/23/2014,09/12/2020,Nonexempt,52236.45
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,07/29/2023,04/22/2024,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,05/23/2022,05/23/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,05/08/2017,05/08/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Staff Technician II,Permanent Full-time,07/15/2023,07/15/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Office Manager,Permanent Full-time,06/20/2023,04/22/2024,Exempt,45208.80
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,03/11/2023,08/14/2023,Nonexempt,49500.00
Human Services,Hum Svc Div of Social Services,Support Technician,Permanent Full-time,06/15/2024,06/15/2024,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,09/12/2020,09/12/2020,Nonexempt,46336.97
Human Services,Hum Svc Div of Social Services,Administrative Technician,Permanent Full-time,12/10/2001,02/19/2019,Nonexempt,44702.74
Human Services,Hum Svc Div of Social Services,Office Manager,Permanent Full-time,04/25/1995,10/02/2017,Exempt,50916.53
Human Services,Hum Svc Div of Social Services,Administrative Assistant I,Permanent Full-time,07/23/2001,07/23/2001,Nonexempt,51091.73
Human Services,Hum Svc Div of Social Services,Accountant II,Permanent Full-time,02/28/2022,02/28/2022,Exempt,51817.50
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,10/01/2015,10/01/2015,Nonexempt,49173.46
Human Services,Hum Svc Juvenile Detention Ctr,Administrative Technician,Permanent Full-time,09/23/2023,09/23/2023,Nonexempt,43820.00
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,01/23/2015,09/21/2015,Nonexempt,50156.94
Human Services,Hum Svc Div of Social Services,Administrative Assistant II,Permanent Full-time,05/08/2014,05/08/2014,Nonexempt,45894.12
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,07/16/1989,05/15/1996,Nonexempt,19.84
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/18/2005,01/31/2022,Nonexempt,45013.50
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,02/01/2005,02/01/2005,Nonexempt,19.40
Human Services,Hum Svc Juvenile Detention Ctr,Maintenance Supervisor I,Permanent Full-time,03/19/2012,02/24/2014,Exempt,50156.93
Human Services,Hum Svc Div of Social Services,Programs Manager,Permanent Full-time,01/23/2012,08/14/2023,Exempt,81340.95
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,01/16/2024,01/16/2024,Nonexempt,45305.00
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,11/05/2022,03/25/2023,Nonexempt,45305.40
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Intermittent Temporary,10/30/2017,03/30/2019,Nonexempt,20.54
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Intermittent Temporary,01/16/1988,05/15/1996,Nonexempt,21.81
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,06/01/2024,06/01/2024,Nonexempt,45305.00
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Permanent Full-time,09/20/2021,09/20/2021,Nonexempt,46637.96
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,07/29/2023,07/29/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,04/11/2020,05/22/2021,Nonexempt,45013.49
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,03/25/2013,09/12/2022,Exempt,61206.60
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,01/18/2008,03/28/2011,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,05/06/2023,05/06/2023,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,09/23/2014,07/22/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Microcomputer Systems Analyst,Permanent Full-time,09/23/2014,08/16/2021,Nonexempt,54305.84
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,04/13/2019,04/13/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,06/11/2013,05/22/2023,Nonexempt,53286.98
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,06/25/2007,03/14/2016,Nonexempt,50350.26
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,06/05/2006,12/08/2014,Nonexempt,50676.22
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/31/2005,10/31/2005,Nonexempt,48808.91
Human Services,Hum Svc Div of Social Services,Maintenance Worker I,Permanent Full-time,11/21/2022,11/21/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,10/25/2021,10/24/2022,Nonexempt,53967.38
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,12/10/2001,04/11/2005,Nonexempt,58954.04
Human Services,Hum Svc Div of Social Services,Management Analyst I,Permanent Full-time,09/03/2019,10/25/2021,Exempt,46336.97
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,06/04/2007,02/03/2024,Nonexempt,67981.87
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,05/08/2017,05/08/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/07/2020,11/07/2020,Nonexempt,51202.55
Human Services,Hum Svc Div of Social Services,Human Services Aide,Intermittent Temporary,11/18/2023,11/18/2023,Nonexempt,18.90
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/06/2017,11/06/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Administrative Technician,Intermittent Temporary,07/28/2015,06/19/2021,Nonexempt,19.15
Human Services,Hum Svc Div of Social Services,Family Services Worker I,Permanent Full-time,09/12/2022,09/12/2022,Nonexempt,45150.00
