,Survived,Pclass,Sex,Age,Fare
862,1,1,0,48.0,25.9292
863,0,3,0,24.0,69.55
864,0,2,1,24.0,13.0
865,1,2,0,42.0,13.0
866,1,2,0,27.0,13.8583
867,0,1,1,31.0,50.4958
868,0,3,1,24.0,9.5
869,1,3,1,4.0,11.1333
870,0,3,1,26.0,7.8958
871,1,1,0,47.0,52.5542
872,0,1,1,33.0,5.0
873,0,3,1,47.0,9.0
874,1,2,0,28.0,24.0
875,1,3,0,15.0,7.225
876,0,3,1,20.0,9.8458
877,0,3,1,19.0,7.8958
878,0,3,1,24.0,7.8958
879,1,1,0,56.0,83.1583
880,1,2,0,25.0,26.0
881,0,3,1,33.0,7.8958
882,0,3,0,22.0,10.5167
883,0,2,1,28.0,10.5
884,0,3,1,25.0,7.05
885,0,3,0,39.0,29.125
886,0,2,1,27.0,13.0
887,1,1,0,19.0,30.0
888,0,3,0,24.0,23.45
889,1,1,1,26.0,30.0
890,0,3,1,32.0,7.75
